,clue,solution,spiegazione
261,"grosso, cerchio, parco, rotonda, mare",lento,"1. Grosso: La parola ""lento"" può essere associata a grosso perché è spesso vista come una parola che indica qualcosa di grosso che si muove lentamente, come ad esempio un grosso animale che si muove lentamente o un grosso oggetto che si muove lentamente.
2. Cerchio: La parola ""lento"" può essere associata a cerchio perché è spesso vista come una parola che indica un cerchio lento, che ha un significato geometrico o cinetico, come ad esempio un cerchio lento che si riferisce a un cerchio che si muove lentamente o a un cerchio che ha una velocità ridotta.
3. Parco: La parola ""lento"" può essere associata a parco perché è spesso vista come una parola che indica un parco lento, che ha un significato turistico o naturalistico, come ad esempio un parco lento che si riferisce a un parco in cui si può passeggiare lentamente o a un parco in cui si può osservare la natura lentamente.
4. Rotonda: La parola ""lento"" può essere associata a rotonda perché è spesso vista come una parola che indica una rotonda lenta, che ha un significato stradale o urbanistico, come ad esempio una rotonda lenta che si riferisce a una rotonda in cui si deve circolare lentamente o a una rotonda che ha una velocità ridotta.
5. Mare: La parola ""lento"" può essere associata a mare perché è spesso vista come una parola che indica un mare lento, che ha un significato marittimo o meteorologico, come ad esempio un mare lento che si riferisce a un mare in cui le onde si muovono lentamente o a un mare che ha una velocità ridotta.</s>"
262,"nato, uova, torace, forza, gemelli",camicia,"1. Nato: La parola ""camicia"" può essere associata a nato perché è spesso vista come una parola che indica una camicia da neonato, che ha un significato infantile o pediatrico, come ad esempio una camicia da neonato che si riferisce a una camicia che si indossa da neonati o a una camicia che è adatta ai neonati.
2. Uova: La parola ""camicia"" può essere associata a uova perché è spesso vista come una parola che indica una camicia a uova, che ha un significato stilistico o modaiolo, come ad esempio una camicia a uova che si riferisce a una camicia che ha una forma particolare o a una camicia che ha un design particolare.
3. Torace: La parola ""camicia"" può essere associata a torace perché è spesso vista come una parola che indica una camicia da torace, che ha un significato medico o sanitario, come ad esempio una camicia da torace che si riferisce a una camicia che si indossa per proteggere il torace o a una camicia che è adatta al torace.
4. Forza: La parola ""camicia"" può essere associata a forza perché è spesso vista come una parola che indica una camicia da forza, che ha un significato restrittivo o coercitivo, come ad esempio una camicia da forza che si riferisce a una camicia che si usa per immobilizzare una persona o a una camicia che è adatta a immobilizzare una persona.
5. Gemelli: La parola ""camicia"" può essere associata a gemelli perché è spesso vista come una parola che indica una camicia da gemelli, che ha un significato formale o elegante, come ad esempio una camicia da gemelli che si riferisce a una camicia che si indossa con i gemelli o a una camicia che è adatta ai gemelli.</s>"
263,"mani, dente, norma, uomo, uovo",pasta,"1. Mani: La parola ""pasta"" può essere associata a mani perché è spesso vista come una parola che indica la pasta fatta a mano, che ha un significato artigianale o culinario, come ad esempio la pasta fatta a mano che si riferisce a una pasta che è fatta con le mani o a una pasta che è preparata con le mani.
2. Dente: La parola ""pasta"" può essere associata a dente perché è spesso vista come una parola che indica la pasta dentale, che ha un significato medico o dentistico, come ad esempio la pasta dentale che si riferisce a una pasta che si usa per pulire i denti o a una pasta che è adatta ai denti.
3. Norma: La parola ""pasta"" può essere associata a norma perché è spesso vista come una parola che indica la pasta normale, che ha un significato standard o convenzionale, come ad esempio la pasta normale che si riferisce a una pasta che è prodotta secondo le norme o a una pasta che è conforme alle norme.
4. Uomo: La parola ""pasta"" può essere associata a uomo perché è spesso vista come una parola che indica l'uomo di pasta, che ha un significato simbolico o allegorico, come ad esempio l'uomo di pasta che si riferisce a un uomo che è forte o resistente o a un uomo che è robusto o solido.
5. Uovo: La parola ""pasta"" può essere associata a uovo perché è spesso vista come una parola che indica la pasta all'uovo, che ha un significato culinario o gastronomico, come ad esempio la pasta all'uovo che si riferisce a una pasta che è fatta con le uova o a una pasta che è preparata con le uova.</s>"
264,"sotto, pane, cambio, massaggio, puglia",olio,"1. Sotto: La parola ""olio"" può essere associata a sotto perché è spesso vista come una parola che indica l'olio sotto, che ha un significato geografico o topografico, come ad esempio l'olio sotto che si riferisce a un olio che si trova sotto la superficie o a un olio che è presente sotto la superficie.
2. Pane: La parola ""olio"" può essere associata a pane perché è spesso vista come una parola che indica l'olio di pane, che ha un significato culinario o gastronomico, come ad esempio l'olio di pane che si riferisce a un olio che si usa per condire il pane o a un olio che è adatto al pane.
3. Cambio: La parola ""olio"" può essere associata a cambio perché è spesso vista come una parola che indica il cambio d'olio, che ha un significato meccanico o automobilistico, come ad esempio il cambio d'olio che si riferisce a un'operazione che si fa per cambiare l'olio di un'automobile o a un'operazione che è adatta al cambio dell'olio.
4. Massaggio: La parola ""olio"" può essere associata a massaggio perché è spesso vista come una parola che indica l'olio da massaggio, che ha un significato terapeutico o curativo, come ad esempio l'olio da massaggio che si riferisce a un olio che si usa per fare un massaggio o a un olio che è adatto al massaggio.
5. Puglia: La parola ""olio"" può essere associata a Puglia perché è spesso vista come una parola che indica l'olio di Puglia, che ha un significato geografico o enogastronomico, come ad esempio l'olio di Puglia che si riferisce a un olio che si produce in Puglia o a un olio che è tipico della Puglia.</s>"
265,"cammello, corso, colosseo, scudo, giunone",moneta,"1. Cammello: La parola ""moneta"" può essere associata a cammello perché è spesso vista come una parola che indica la moneta del cammello, che ha un significato simbolico o allegorico, come ad esempio la moneta del cammello che si riferisce a una moneta che ha l'immagine di un cammello o a una moneta che è associata al cammello.
2. Corso: La parola ""moneta"" può essere associata a corso perché è spesso vista come una parola che indica il corso della moneta, che ha un significato economico o finanziario, come ad esempio il corso della moneta che si riferisce al valore di una moneta o a un valore che è adatto al corso della moneta.
3. Colosseo: La parola ""moneta"" può essere associata a Colosseo perché è spesso vista come una parola che indica la moneta del Colosseo, che ha un significato storico o archeologico, come ad esempio la moneta del Colosseo che si riferisce a una moneta che è stata coniata durante l'epoca del Colosseo o a una moneta che è associata al Colosseo.
4. Scudo: La parola ""moneta"" può essere associata a scudo perché è spesso vista come una parola che indica la moneta dello scudo, che ha un significato simbolico o allegorico, come ad esempio la moneta dello scudo che si riferisce a una moneta che ha l'immagine di uno scudo o a una moneta che è associata allo scudo.
5. Giunone: La parola ""moneta"" può essere associata a Giunone perché è spesso vista come una parola che indica la moneta di Giunone, che ha un significato mitologico o religioso, come ad esempio la moneta di Giunone che si riferisce a una moneta che è stata coniata in onore di Giunone o a una moneta che è associata a Giunone.</s>"
266,"toro, vita, studio, pugile, canguro",borsa,"1. Toro: La parola ""borsa"" può essere associata a toro perché è spesso vista come una parola che indica la borsa del toro, che ha un significato simbolico o allegorico, come ad esempio la borsa del toro che si riferisce a una borsa che ha l'immagine di un toro o a una borsa che è associata al toro.
2. Vita: La parola ""borsa"" può essere associata a vita perché è spesso vista come una parola che indica la borsa della vita, che ha un significato simbolico o allegorico, come ad esempio la borsa della vita che si riferisce a una borsa che contiene la vita o a una borsa che è associata alla vita.
3. Studio: La parola ""borsa"" può essere associata a studio perché è spesso vista come una parola che indica la borsa di studio, che ha un significato economico o finanziario, come ad esempio la borsa di studio che si riferisce a una borsa che si assegna a uno studente per finanziare i suoi studi o a una borsa che è adatta alla borsa di studio.
4. Pugile: La parola ""borsa"" può essere associata a pugile perché è spesso vista come una parola che indica la borsa del pugile, che ha un significato simbolico o allegorico, come ad esempio la borsa del pugile che si riferisce a una borsa che contiene i guantoni o a una borsa che è associata al pugile.
5. Canguro: La parola ""borsa"" può essere associata a canguro perché è spesso vista come una parola che indica la borsa del canguro, che ha un significato simbolico o allegorico, come ad esempio la borsa del canguro che si riferisce a una borsa che ha la forma di una tasca del canguro o a una borsa che è associata al canguro.</s>"
267,"miele, bjorn borg, berlino, pelle, solitario",orso,"1. Miele: La parola ""orso"" può essere associata a miele perché è spesso vista come una parola che indica l'orso delle api, che è un animale che si nutre di miele e di polline.
2. Bjorn Borg: La parola ""orso"" può essere associata a Bjorn Borg perché è spesso vista come una parola che indica l'orso di Bjorn Borg, che è un soprannome che è stato dato al tennista svedese Bjorn Borg per via del suo aspetto fisico e del suo stile di gioco.
3. Berlino: La parola ""orso"" può essere associata a Berlino perché è sposta vista come una parola che indica l'orso di Berlino, che è un simbolo della città tedesca di Berlino.
4. Pelle: La parola ""orso"" può essere associata a pelle perché è spesso vista come una parola che indica la pelle d'orso, che è un materiale che si ottiene dalla pelle degli orsi e che si usa per fare abbigliamento o accessori.
5. Solitario: La parola ""orso"" può essere associata a solitario perché è spesso vista come una parola che indica l'orso solitario, che è un animale che vive da solo e che è noto per la sua indipendenza e la sua solitudine.</s>"
268,"stomaco, montagna, orologio, vetro, nuda",parete,"1. Stomaco: La parola ""parete"" può essere associata a stomaco perché è spesso vista come una parola che indica la parete dello stomaco, che è una parte del corpo umano che ha la forma di una parete.
2. Montagna: La parola ""parete"" può essere associata a montagna perché è spesso vista come una parola che indica la parete della montagna, che è una parte della montagna che ha la forma di una parete.
3. Orologio: La parola ""parete"" può essere associata a orologio perché è spesso vista come una parola che indica la parete dell'orologio, che è una parte dell'orologio che ha la forma di una parete.
4. Vetro: La parola ""parete"" può essere associata a vetro perché è spesso vista come una parola che indica la parete di vetro, che è una parte della casa o dell'edificio che ha la forma di una parete e che è fatta di vetro.
5. Nuda: La parola ""parete"" può essere associata a nuda perché è spesso vista come una parola che indica la parete nuda, che è una parete che non ha nulla appeso o attaccato ad essa.</s>"
269,"quaranta, scalfaro, perdonare, porta, donna rosa",sette,"1. Quaranta: Il numero sette è il risultato della divisione di quaranta per sei (quaranta divided by six equals seven).
2. Scalfaro: Il nome ""Scalfaro"" può essere associato al numero sette attraverso l'ex Presidente della Repubblica Italiana Oscar Luigi Scalfaro, che è stato in carica dal 1992 al 1999, per un totale di sette anni.
3. Perdonare: Il numero sette può essere associato al perdono attraverso il concetto di ""sette volte sette"", che si riferisce al perdono illimitato (Mt 18,21-22).
4. Porta: Il numero sette può essere associato alla porta attraverso la frase ""sette porte d'oro"" che si riferisce a una porta decorata con sette metalli preziosi.
5. Donna rosa: Il numero sette può essere associato alla donna rosa attraverso il concetto di ""sette meraviglie del mondo"", una lista di sette monumenti antichi considerati meravigliosi.</s>"
270,"grigio, bagno, pepè, madre, marianna",perla,"1. Grigio: Il colore grigio può essere associato alla perla perché le perle grigie sono considerate una varietà rara e preziosa di perle.
2. Bagno: La perla può essere associata al bagno attraverso il concetto di ""bagno di perle"", un trattamento di bellezza che utilizza perle tritate per esfoliare e levigare la pelle.
3. Pepè: Il nome ""Pepè"" può essere associato alla perla attraverso il personaggio di Pepè Le Pew, un personaggio dei cartoni animati della Warner Bros. noto per la sua ossessione per le perle.
4. Madre: La perla può essere associata alla madre attraverso il concetto di ""perla di saggezza"", un detto che si riferisce a una preziosa lezione o consiglio impartito da una madre.
5. Marianna: Il nome ""Marianna"" può essere associato alla perla attraverso la figura di Maria Anna d'Austria, regina di Portogallo, nota per la sua collezione di gioielli, incluse perle preziose.</s>"
271,"una lira, braccio, pesca, romana, cucina",bilancia,"1. Una lira: La bilancia può essere associata alla lira attraverso il simbolo della bilancia, che era presente sulla moneta da una lira italiana.
2. Braccio: La bilancia può essere associata al braccio attraverso il concetto di ""bilancia del braccio"", un esercizio di fitness che aiuta a rafforzare i muscoli del braccio.
3. Pesca: La bilancia può essere associata alla pesca attraverso il concetto di ""pesca a bilancia"", un metodo di pesca che utilizza una bilancia per sollevare il pesce dall'acqua.
4. Romana: La bilancia può essere associata a Roma attraverso il simbolo della bilancia, che era presente nello stemma della città di Roma.
5. Cucina: La bilancia può essere associata alla cucina attraverso il concetto di ""bilancia da cucina"", uno strumento utilizzato per misurare gli ingredienti in cucina.</s>"
272,"spedito, gigante, uomo, carica, vita",passo,"1. Spedito: Il passo può essere associato alla spedizione attraverso il concetto di ""passo spedito"", che si riferisce a un movimento veloce e deciso.
2. Gigante: Il passo può essere associato al gigante attraverso il concetto di ""passo da gigante"", che si riferisce a un grande progresso o avanzamento in un'area specifica.
3. Uomo: Il passo può essere associato all'uomo attraverso il concetto di ""passo dell'uomo"", che si riferisce al modo di camminare degli esseri umani.
4. Carica: Il passo può essere associato alla carica attraverso il concetto di ""passo carico"", che si riferisce a un passo pesante o incerto.
5. Vita: Il passo può essere associato alla vita attraverso il concetto di ""passo della vita"", che si riferisce al percorso che una persona compie durante la sua esistenza.</s>"
273,"pelle, olio, cavaliere, scappare, bosco",macchia,"1. Pelle: La macchia può essere associata alla pelle attraverso il concetto di ""macchia sulla pelle"", che si riferisce a una macula o una macchia cutanea.
2. Olio: La macchia può essere associata all'olio attraverso il concetto di ""macchia d'olio"", che si riferisce a una macchia unta lasciata da olio versato.
3. Cavaliere: La macchia può essere associata al cavaliere attraverso il concetto di ""macchia di cavaliere"", che si riferisce a una macchia di onore o disonore associata a un cavaliere.
4. Scappare: La macchia può essere associata a scappare attraverso il concetto di ""macchia di fuga"", che si riferisce a una traccia o una macchia lasciata da qualcuno che è fuggito via.
5. Bosco: La macchia può essere associata al bosco attraverso il concetto di ""macchia boschiva"", che si riferisce a una piccola area di foresta o bosco.</s>"
274,"giorno, gioco, macchina, giuramento, dico",verità,"1. Giorno: La verità può essere associata al giorno attraverso il concetto di ""verità della luce del giorno"", che si riferisce alla rivelazione della verità attraverso la luce del sole.
2. Gioco: La verità può essere associata al gioco attraverso il concetto di ""verità o sfida"", un gioco in cui i giocatori devono rispondere a domande onestamente o affrontare una conseguenza.
3. Macchina: La verità può essere associata alla macchina attraverso il concetto di ""macchina della verità"", uno strumento utilizzato per rilevare se una persona sta mentendo o dicendo la verità.
4. Giuramento: La verità può essere associata al giuramento attraverso il concetto di ""giuramento di verità"", un giuramento solenne di dire la verità in un tribunale o in un'altra situazione formale.
5. Dico: La verità può essere associata alla parola ""dico"" attraverso il concetto di ""dico la verità"", un'espressione utilizzata per sottolineare l'onestà di una dichiarazione.</s>"
275,"mosca, americano, furia, concerto, pianta",caffè,"1. Mosca: Il caffè può essere associato alla mosca attraverso il concetto di ""mosca del caffè"", un insetto che si nutre di caffè e può causare danni alle piantagioni di caffè.
2. Americano: Il caffè può essere associato all'America attraverso il concetto di ""caffè americano"", una bevanda a base di caffè e acqua calda che è popolare negli Stati Uniti.
3. Furia: Il caffè può essere associato alla furia attraverso il concetto di ""furia del caffè"", una malattia delle piante di caffè che può causare la morte delle piante.
4. Concerto: Il caffè può essere associato al concerto attraverso il concetto di ""caffè concerto"", un tipo di locale in cui si può ascoltare musica dal vivo mentre si beve caffè.
5. Pianta: Il caffè può essere associato alla pianta attraverso il concetto di ""pianta del caffè"", la pianta da cui si ricava il caffè.</s>"
276,"beethoven, incapace, pistola, zecca, punta",cane,"1. Beethoven: Il cane può essere associato a Beethoven attraverso il film ""Beethoven"", una commedia del 1992 che presenta un cane di razza San Bernardo di nome Beethoven.
2. Incapace: Il cane può essere associato all'incapacità attraverso il concetto di ""incapace di badare al cane"", una situazione in cui qualcuno non è in grado di prendersi cura di un cane.
3. Pistola: Il cane può essere associato alla pistola attraverso il concetto di ""cane da pistola"", un cane da caccia addestrato a recuperare la selvaggina abbattuta con un colpo di pistola.
4. Zecca: Il cane può essere associato alla zecca attraverso il concetto di ""zecca del cane"", un parassita che può infestare i cani e altri animali.
5. Punta: Il cane può essere associato alla punta attraverso il concetto di ""punta del cane"", una parte del corpo del cane che si trova sulla punta della coda.</s>"
277,"amore, spirito, tempo, taxi, canto",libero,"1. Amore: Il concetto di ""amore libero"" si riferisce a una relazione sentimentale senza impegni o obblighi formali.
2. Spirito: Il concetto di ""spirito libero"" si riferisce a una persona che è indipendente, ribelle e non si lascia limitare dalle convenzioni sociali.
3. Tempo: Il concetto di ""tempo libero"" si riferisce al tempo trascorso al di fuori delle attività lavorative o scolastiche.
4. Taxi: Il concetto di ""taxi libero"" si riferisce a un taxi che non è occupato e che è disponibile per prendere un passeggero.
5. Canto: Il concetto di ""canto libero"" si riferisce a un canto senza limitazioni o restrizioni, come quello di un uccello che canta liberamente in natura.</s>"
278,"gomma, quotidiano, denti, albero, cassetta",pane,"1. Gomma: Il concetto di ""gomma da masticare"" si riferisce a una gomma elastica che si masticata per divertimento o per aiutare a concentrarsi.
2. Quotidiano: Il concetto di ""pane quotidiano"" si riferisce al cibo di base necessario per la sopravvivenza, come il pane.
3. Denti: Il concetto di ""pane duro"" si riferisce a un pane che è difficile da masticare a causa della sua consistenza dura.
4. Albero: Il concetto di ""pane di legno"" si riferisce a un tipo di pane che è cotto in un forno a legna.
5. Cassetta: Il concetto di ""pane in cassetta"" si riferisce a un tipo di pane che è cotto in una cassetta di metallo o di ceramica.</s>"
279,"vergine, formaggio, vino, cella, luna",miele,"1. Vergine: Il concetto di ""miele vergine"" si riferisce a un miele non pastorizzato e non filtrato, che mantiene intatte tutte le sue proprietà nutritive.
2. Formaggio: Il concetto di ""formaggio al miele"" si riferisce a un tipo di formaggio che è servito con del miele versato sopra.
3. Vino: Il concetto di ""vino al miele"" si riferisce a un tipo di vino dolce che è fatto mescolando il mosto d'uva con del miele.
4. Cella: Il concetto di ""cella del miele"" si riferisce a una cella di un alveare in cui le api immagazzinano il miele.
5. Luna: Il concetto di ""luna di miele"" si riferisce al viaggio di nozze che i neo sposi fanno subito dopo il matrimonio.</s>"
280,"pio, medaglia, pago, direzione, poesia",verso,"1. Pio: Il concetto di ""piover di versi"" si riferisce a una pioggia di parole o versi poetici.
2. Medaglia: Il concetto di ""medaglia al valor militare"" si riferisce a una medaglia che viene assegnata ai soldati che si sono distinti in battaglia, con versi che lodano il loro coraggio.
3. Pago: Il concetto di ""pagare di versi"" si riferisce a un modo di dire che significa ""rispondere con parole taglienti o offensive"".
4. Direzione: Il concetto di ""versi di una poesia"" si riferisce alla disposizione delle parole in una poesia, che segue una certa direzione o ritmo.
5. Poesia: Il concetto di ""versi di una poesia"" si riferisce alle parole stesse che compongono una poesia, che possono essere scritte in versi liberi o in rime.</s>"
281,"pistone, rosso, marina, partire, grammofono",tromba,"1. Pistone: Il concetto di ""tromba d'aria"" si riferisce a un forte vento che può causare danni alle case e agli alberi.
2. Rosso: Il concetto di ""tromba rossa"" si riferisce a un tipo di tromba utilizzata dai pompieri per segnalare un incendio o per dare l'allarme.
3. Marina: Il concetto di ""tromba di bordo"" si riferisce a una tromba utilizzata sulle navi per segnalare l'inizio o la fine del turno di lavoro.
4. Partire: Il concetto di ""partire a tutta tromba"" si riferisce a partire in modo veloce e deciso, come se si stesse suonando una tromba.
5. Grammofono: Il concetto di ""tromba del grammofono"" si riferisce al cono di cartone o metallo che amplifica il suono del grammofono.</s>"
282,"matita, mestiere, non si vede, sala, mago",trucco,"1. Matita: Il concetto di ""trucco con la matita"" si riferisce a un trucco di magia che utilizza una matita.
2. Mestiere: Il concetto di ""mestiere del truccatore"" si riferisce a una professione che consiste nel truccare attori o modelle per i loro ruoli o per le loro apparizioni in pubblico.
3. Non si vede: Il concetto di ""trucco che non si vede"" si riferisce a un trucco di magia che è così ben eseguito che sembra reale.
4. Sala: Il concetto di ""sala da trucco"" si riferisce a una stanza in cui le persone si truccano prima di apparire in pubblico.
5. Mago: Il concetto di ""mago del trucco"" si riferisce a un mago che si specializza in trucchi di magia che utilizzano il trucco come parte della loro esibizione.</s>"
283,"scemotto, ride, passione, selvaggio, dea",venerdì,"1. Scemotto: Il concetto di ""venerdì scemo"" si riferisce a una tradizione in cui le persone si vestono in modo ridicolo o si comportano in modo stupido il venerdì sera.
2. Ride: Il concetto di ""ride del venerdì"" si riferisce a un modo di dire che significa ""essere felici o eccitati per il fine settimana che sta arrivando"".
3. Passione: Il concetto di ""venerdì della passione"" si riferisce a un evento annuale che si svolge a Rio de Janeiro, in Brasile, in cui le persone ballano e cantano per le strade per celebrare il venerdì Santo.
4. Selvaggio: Il concetto di ""venerdì selvaggio"" si riferisce a una serata di festa e divertimento che si svolge il venerdì sera.
5. Dea: Il concetto di ""dea del venerdì"" si riferisce a una donna che è particolarmente attraente o affascinante il venerdì sera.</s>"
284,"dolce, male, paura, personale, finta",niente,"1. Dolce: Il concetto di ""niente di dolce"" si riferisce a qualcosa che non è dolce o piacevole.
2. Male: Il concetto di ""niente di male"" si riferisce a qualcosa che non causa danni o problemi.
3. Paura: Il concetto di ""niente da temere"" si riferisce a qualcosa che non è pericoloso o minaccioso.
4. Personale: Il concetto di ""niente di personale"" si riferisce a qualcosa che non riguarda la persona interessata o che non ha un significato particolare per lei.
5. Finta: Il concetto di ""niente di finto"" si riferisce a qualcosa che è autentico o reale, non falso o simulato.</s>"
285,"muro, vento, dalai lama, scacchi, musica",maestro,"1. Muro: Il concetto di ""maestro muratore"" si riferisce a una persona esperta nella costruzione di muri e di altre strutture in muratura.
2. Vento: Il concetto di ""maestro del vento"" si riferisce a una persona che è esperta nel prevedere o nel sfruttare il vento, come un velista o un aquilonista.
3. Dalai Lama: Il concetto di ""maestro spirituale"" si riferisce a una persona che è esperta in materia di spiritualità o di religione, come il Dalai Lama.
4. Scacchi: Il concetto di ""maestro degli scacchi"" si riferisce a una persona che è esperta nel gioco degli scacchi e che è in grado di battere avversari più deboli.
5. Musica: Il concetto di ""maestro di musica"" si riferisce a una persona che è esperta in materia di musica e che è in grado di insegnare a suonare uno strumento o a cantare.</s>"
286,"stretto, vacanza, coperta, bandiera bianca, ponente",ponte,"1. Stretto: Il concetto di ""ponte sullo stretto"" si riferisce a un ponte che attraversa uno stretto di mare, come il ponte sullo stretto di Messina in Italia.
2. Vacanza: Il concetto di ""ponte di vacanza"" si riferisce a un giorno festivo che cade di martedì o di giovedì, permettendo così di fare un ponte tra il fine settimana e il giorno festivo.
3. Coperta: Il concetto di ""ponte di coperta"" si riferisce a una passerella che collega due parti di una nave o di un'imbarcazione.
4. Bandiera bianca: Il concetto di ""bandiera bianca sul ponte"" si riferisce a una bandiera bianca issata sul ponte di una nave come segno di resa o di richiesta di aiuto.
5. Ponente: Il concetto di ""ponte di ponente"" si riferisce a un ponte che attraversa un fiume o un canale in direzione ovest.</s>"
287,"cercare, favole, giallo, radio, modugno",telefono,"1. Cercare: Il concetto di ""cercare con il telefono"" si riferisce a cercare qualcosa o qualcuno utilizzando il telefono, come ad esempio cercare un numero di telefono o cercare informazioni su internet.
2. Favole: Il concetto di ""telefono senza fili"" si riferisce a un telefono che non ha bisogno di essere collegato a una linea fissa, come le favole di un telefono che si poteva portare ovunque.
3. Giallo: Il concetto di ""telefono giallo"" si riferisce a un telefono di colore giallo, che è stato utilizzato come simbolo di allarme o di emergenza in alcuni paesi.
4. Radio: Il concetto di ""telefono radio"" si riferisce a un telefono che utilizza le onde radio per trasmettere e ricevere segnali, come la radio.
5. Modugno: Il concetto di ""telefono Modugno"" si riferisce a una canzone di Domenico Modugno intitolata ""Telefono, telefono"", che è stata un grande successo in Italia negli anni '60.</s>"
288,"palatino, tempio, monaca, cipolla, stendere",velo,"1. Palatino: Il concetto di ""velo del Palatino"" si riferisce a un velo che veniva utilizzato per coprire le statue e le opere d'arte presenti sul colle Palatino a Roma.
2. Tempio: Il concetto di ""velo del tempio"" si riferisce a un velo che veniva utilizzato per coprire le statue e le opere d'arte presenti nei templi.
3. Monaca: Il concetto di ""velo della monaca"" si riferisce a un velo che le monache utilizzano per coprire il viso o la testa.
4. Cipolla: Il concetto di ""velo della cipolla"" si riferisce a una sottile membrana che ricopre le strati della cipolla.
5. Stendere: Il concetto di ""velo steso al sole"" si riferisce a un velo che viene steso al sole per farlo asciugare o per farlo brillare.</s>"
289,"vuoto, rabbia, telefono, stipendio, serratura",scatto,"1. Vuoto: Il concetto di ""scatto d'ira"" si riferisce a un improvviso accesso di rabbia o di collera.
2. Rabbia: Il concetto di ""scatto di rabbia"" si riferisce a un improvviso accesso di rabbia o di collera.
3. Telefono: Il concetto di ""scatto della cornetta"" si riferisce al suono che si sente quando si alza la cornetta del telefono per rispondere o per fare una chiamata.
4. Stipendio: Il concetto di ""scatto di stipendio"" si riferisce a un aumento automatico dello stipendio che viene concesso dopo un certo periodo di tempo o dopo aver raggiunto un determinato livello di anzianità.
5. Serratura: Il concetto di ""scatto della serratura"" si riferisce al meccanismo che permette di aprire o di chiudere una serratura con un solo movimento.</s>"
290,"pane, lotta, alpini, spirito, popò",corpo,"1. Pane: Il concetto di ""corpo del pane"" si riferisce alla parte centrale del pane, che è la parte più morbida e gustosa.
2. Lotta: Il concetto di ""corpo a corpo"" si riferisce a un tipo di lotta in cui i due avversari si affrontano a distanza ravvicinata, senza l'uso di armi.
3. Alpini: Il concetto di ""corpo degli Alpini"" si riferisce a un corpo militare dell'esercito italiano, specializzato nelle operazioni in montagna.
4. Spirito: Il concetto di ""corpo e spirito"" si riferisce all'unione tra il corpo e la mente, che è considerata fondamentale per la salute e il benessere.
5. Popò: Il concetto di ""corpo del bambino"" si riferisce al corpo del bambino, che è ancora in fase di crescita e sviluppo.</s>"
291,"tango, testa, pavone, verne, oro",pallone,"1. Tango: Il concetto di ""pallone da tango"" si riferisce a una palla da calcio utilizzata per giocare a questo sport.
2. Testa: Il concetto di ""testa di pallone"" si riferisce a una persona che è particolarmente brava in un determinato campo o attività.
3. Pavone: Il concetto di ""pallone da pavone"" si riferisce a un pallone decorato con piume o altri ornamenti, che viene utilizzato per giocare a un gioco simile al calcio, ma con regole diverse.
4. Verne: Il concetto di ""pallone aerostatico"" si riferisce a un pallone utilizzato per sollevare persone o oggetti in aria, come quelli descritti da Jules Verne nei suoi romanzi.
5. Oro: Il concetto di ""pallone d'oro"" si riferisce a un premio assegnato al miglior calciatore dell'anno, scelto da una giuria di esperti.</s>"
292,"rosso, campanile, uccidere, mamma, jovanotti",festa,"1. Rosso: Il concetto di ""festa del rosso"" si riferisce a una festa in cui il colore rosso è il protagonista, come la festa di San Valentino.
2. Campanile: Il concetto di ""festa del campanile"" si riferisce a una festa in cui si suonano le campane a festa, come quelle che si tengono in occasione della Pasqua o del Natale.
3. Uccidere: Il concetto di ""festa di morte"" si riferisce a una festa in cui si ricordano i defunti, come il Giorno dei Morti in Messico.
4. Mamma: Il concetto di ""festa della mamma"" si riferisce a una festa in cui si celebra il ruolo delle madri nella società, come quelle che si tengono in molti paesi in primavera.
5. Jovanotti: Il concetto di ""festa di Jovanotti"" si riferisce a un concerto o a un evento musicale in cui si esibisce il cantante italiano Lorenzo Cherubini, noto come Jovanotti.</s>"
293,"libano, vela, gli antenati, bello, natale",albero,"1. Libano: Il concetto di ""albero del Libano"" si riferisce a una specie di albero originaria del Libano, nota per la sua altezza e la sua chioma folta.
2. Vela: Il concetto di ""albero maestro"" si riferisce all'albero più alto di una nave a vela, che sostiene le vele più grandi.
3. Gli antenati: Il concetto di ""albero genealogico"" si riferisce a un diagramma che mostra i rapporti di parentela tra le persone di una famiglia, rappresentati come rami di un albero.
4. Bello: Il concetto di ""albero bello"" si riferisce a un albero particolarmente bello da vedere, come quelli che si trovano in un parco o in un giardino.
5. Natale: Il concetto di ""albero di Natale"" si riferisce a un albero decorato con luci, palline e altri ornamenti, che si tiene in casa durante le festività natalizie.</s>"
294,"denaro, ospite, naso, fritto, bruciato",puzza,"1. Denaro: Il concetto di ""puzza di denaro"" si riferisce a un modo di dire che significa che qualcosa ha un odore sgradevole o sgradevole, come il denaro sporco o sudicio.
2. Ospite: Il concetto di ""puzza di ospite"" si riferisce a un odore sgradevole che può essere lasciato da un ospite che è stato a casa tua per un po' di tempo.
3. Naso: Il concetto di ""puzza di naso"" si riferisce a un modo di dire che significa che qualcuno è snob o presuntuoso, e che non vuole mescolarsi con le persone comuni.
4. Fritto: Il concetto di ""puzza di cibo fritto"" si riferisce a un odore sgradevole che può essere lasciato da cibi fritti, come le patatine fritte o il pollo fritto.
5. Bruciato: Il concetto di ""puzza di bruciato"" si riferisce a un odore sgradevole che può essere lasciato da cibi bruciati, come il pane o la pizza.</s>"
